Class,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,1,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,25,25.00,28.00,52.00,28.00,8.00,4.00,0.00,0.00,4.00,4.00,0.00,8.00,4.00,8.00,4,4,4,0,0,12,4,4,0,0,8,8,0,0,4,4,4,0,0,0,0,20,8,0,4,4,0,4,4,8,4,4,0,0,12,12,0,0,4,4,0,4,0,0,4,0,0,4,0,0,4,0,0,40,0,0,8,0,0,0,0,0,8,0,24
0,3,10,10.00,80.00,30.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,30,10,0,0,0,0,0,0,0,0,130,0,0,10,0,0,0,0,0,20,0,100
0,4,17,17.00,41.18,82.35,52.94,11.76,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,17.65,17.65,0,17.65,0,0,17.65,0,0,5.88,0,0,5.88,0,0,11.76,17.65,0,17.65,5.88,5.88,5.88,29.41,5.88,0,0,0,5.88,11.76,17.65,0,5.88,0,0,5.88,5.88,5.88,0,0,0,11.76,0,17.65,11.76,5.88,0,0,0,5.88,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,11.76,0,11.76
0,5,3,3.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,33.33,0,0,0,0,0,66.67,0,100
0,6,4,4.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,25,0,0,0,0,0,50,0,100
0,7,6,6.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,33.33,0,0,0,0,0,33.33,0,83.33
0,8,18,18.00,55.56,61.11,27.78,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,11.11,11.11,0,5.56,5.56,0,11.11,0,0,0,0,5.56,11.11,0,0,0,16.67,5.56,11.11,5.56,5.56,0,16.67,5.56,0,5.56,0,0,5.56,5.56,5.56,5.56,0,5.56,0,5.56,5.56,0,0,0,5.56,0,5.56,5.56,0,0,0,0,11.11,0,0,0,0,0,50,0,0,5.56,0,0,0,0,0,11.11,0,33.33
0,9,16,16.00,31.25,62.50,37.50,18.75,6.25,0.00,0.00,6.25,6.25,0.00,18.75,6.25,0.00,0,0,6.25,0,0,12.5,12.5,0,0,0,0,12.5,0,0,6.25,18.75,6.25,12.5,0,6.25,6.25,25,0,0,6.25,6.25,0,0,12.5,6.25,0,0,0,0,6.25,0,0,6.25,0,6.25,0,12.5,6.25,0,6.25,0,0,0,0,0,0,6.25,0,68.75,0,6.25,6.25,0,0,0,0,12.5,12.5,0,31.25
0,10,5,5.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,40,0,0,0,0,0,40,0,80
