texto
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 https://tco/kcjp1avx9m'
'#facebookmelhorredesossial #brasilqueopovoquer  #estudar #aprender #seralguemnavida #trabalhar    #quintadetremurasdv https://tco/hvh93sxywf'
'#brasilqueopovoquer é com  juntamente com outros quem tem medo de intervenção militar é só político corrupto #bolsonaro2018'
' https://tco/gbdrjtlvyo'
'  #lulainelegivel https://tco/qa0lybp8sv'
'rt @titoporto10: #brasilqueopovoquer  https://tco/ksr65ebc2b'
'@uolnoticias #brasilopaisdaimpinidade @uolnoticias vcs deveriam ter vergonha sem anunciar isto  safado corrupto beneficiado pela impunidade https://tco/okeais88gr'
"'puta que pariu, abaixa essa bandeira e levanta a do brasil  #oportunista  #lulaparasita https://tco/nlkzycxgq0'"
'rt @ezequiasns:  https://tco/wynqtnn3jy'
'rt @titoporto10:  corrupto basta de impunidade @mariamcastanha @lourdesflintz @luciamoura00 @elianegsegui @macunaimaz… '
'rt @ezequiasns:  https://tco/wynqtnn3jy'
"'@roxmo em país decente esse ladrão já estaria preso, mas vivemos num país onde políticos não são presos, as leis não os alcançam '"
'@esuplicy @lulapelobrasil '
'rt @ezequiasns:  https://tco/wynqtnn3jy'
'rt @blogdotato67: na papuda                                                  #tocommoro https://tco/m2uzae2yla'
'rt @fabiolamathiast: já passou da hora de colocar   https://tco/vvlgzs0vas'
'@lulapelobrasil as portas da sua cela estão abertas '
'rt @fabiolamathiast: já passou da hora de colocar   https://tco/vvlgzs0vas'
"'e começa o blablabla  mais uma vez, os mesmos memes, o povo com esperança só pra quebrar a cara mais uma vez é triste #pas'"
'@humbertocostapt o brasil que o pt quer  estatais inchadas ineficientes com esquerdinhas roubando a tudo e a todos como se ñ houvesse amanhã '
'@revistaistoe pora deixem a família em paz @realdonaldtrump @ivankatrump  #foragilmar #foratemer #aecionacadeia #obrigadajanot'
'@o_antagonista  #bolsonaro2018'
"'@gleisi o socialismo levou a venezuela a ser uma concha vazia não há democracia, não dinheiro, não há comida não há nada #ptnuncamais '"
'@movavantebrasil '
'rt @luiztenda: @movavantebrasil '
'@o_antagonista  #lulanuncamais #ptnuncamais'
'e o lula não foi preso #acordabrasil  https://tco/0bzjgp33cs'
'o lugar dele é em algum presídio  https://tco/mtzs9cbfvd'
'@gleisi tiveram 13 anos pra implementar issonos últimos 3 ainda destruíram tudo que havia se conseguido de positivo neste sentido '
'@rodrigojfmg1981 @bobiackk @games2002 @giovannarocco @chico_amaro @thiagofc3079 @arisirius @barella_sfc @carlos_stat @pgiolli @rcrevelone @vazamaia @uli_cassilva @arykame @maulroou @rubenscrevelone @luheisenberg @betozsantos @pablitohistory @ceribeiro82 @mlulatica @rubinhoarte @gus_moreira @bobjackk @ramesojalves @isabelviso @antonsilva @periodistabr @vagnerjack @walfredocarlos @valmont1 @mariluparreiras @fatimaleaum @aliceelendutra3 @edson13pt @ulises_4inter @mary_mayah @auberaraujo @rmelette @crisbezig @zethede @rightthingbr @nikolasspagnol @realities_tv @jensoares73 @murillo_1914 @osantipira @deputadofederal quando os petistas crescerem e entenderem a diferença entre polícia/bandido subirão a #somostodosmoro '
'nao seria o mesmo que dizer:  - me estrupou mas me deu carona pra casa pelo amor de deus lugar de bandido é na cadeia '
