"'cadê o   daqui a pouco vc vai ser investigado também, abre o olho https://tco/ownrphk35l'"
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'absurdo é  ainda ter prefeito eleito  #nãoaoplc28 https://tco/8dpba8rn7f'
'1 ano de cadeia refresca a memória de qualquer vagabundo #funaro #delator #foratemer  https://tco/8sw1n1vzk1'
'isso poucos tem coragem de dizer assista: https://tco/ji1p8jvxla #intervencaomilitarja  #corruptosnacadeia https://tco/rpz2bv9tzt'
'@exame o #brasil está tipo mulher que apanha mais gosta '
'@mblivre @gleisi @lindberghfarias #nãoaoplc28  '
'rt @ficorpedro: absurdo é  ainda ter prefeito eleito  #nãoaoplc28 https://tco/8dpba8rn7f'
"'#nãoaoplc28 e  nas eleições de 2018 daremoos a nossa resposta nas urnas aí pt e seus satélites, destruidores do brasil'"
"'rt @wilsondias11: #nãoaoplc28 e  nas eleições de 2018 daremoos a nossa resposta nas urnas aí pt e seus satélites, destruidores do br…''
'@dilmabr  não demora ;)'
"'rt @06pitalo: @blogdojefferson   algemem logo o lula, antes que ele algeme o brasil'"
'o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
"'@uimarv lula, aquele cabra $afado, enganou até o bolsonaro no passado '"
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'@ma_marcosvitola '
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
"'rt @wilsondias11: #nãoaoplc28 e  nas eleições de 2018 daremoos a nossa resposta nas urnas aí pt e seus satélites, destruidores do br…''
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
"'rt @australiano1980: parabéns a todas as bruxas, happy halloween 🎉👺👹🕸🕷🎃🍬🍭😲  #stfvergonhanacional'"
'o comunista gosta mesmo é de roubar  https://tco/ccgqlpuqti'
'rt @mary_greicy:   #prisãosegundainstânciasim https://tco/0cphaib8de'
'@lulapelobrasil a melhor foto seria vc atrás das grades '
'pt vive com dinheiro dos sindicatos  #naoaoplc28 #leidoretrocesso'
'lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'@rbanffy @jairbolsonaro #foradilma #foratemer  #entrabolsonaro'
'@rbanffy @jairbolsonaro #foradilma #foratemer  #entrabolsonaro'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @mark_senkd:  quando a esquerda descobre maquiavel https://tco/ois3n13qag'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @iracemagouvea: crápula esse lula  https://tco/wjxq69wbjh'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'#lulanuncamais  https://tco/3byrqcvrkr'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @cikato: pt vive com dinheiro dos sindicatos  #naoaoplc28 #leidoretrocesso'
'rt @cikato: pt vive com dinheiro dos sindicatos  #naoaoplc28 #leidoretrocesso'
'@veja @augustosnunes kkkkkkkkkkkkkkkkk minha risada pra você bandido '
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'@lindberghfarias '
'@fausto_macedo #ptnuncamais '
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
"'@o_antagonista vamos pra cima, moro esse pilantra não pode ficar impune queremos '"
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'  #lulainelegivel https://tco/jyqh1tia8n'
'retweeted  (@flordelotus05):  @niloborgna @titoporto10 @fatimaordemur o governo não produz nada https://tco/z0mxxjbzen'
'delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
"'@christichat @realdonaldtrump pesquisa aponta que consumidoramericano jamais foi++otimista, entretanto,se acreditarmos naglobo,usa está acab'
'@ailton_fs @lulapelobrasil a mamata vai acabar só te restará a mamada no jegue pai vai ter q trabalhar pelego desocupado  a hashtag q nunca '
'  #lulainelegivel  #intervencaomilitarja https://tco/d48anlhrxm'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
