Original Lines,OPINIONLEXICON,SENTISTRENGTH,SOCAL,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER,UMIGON
'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…',Neutral,Neutral,Neutral,Positive,Neutral,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…',Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…',Neutral,Neutral,Neutral,Positive,Neutral,Positive,Positive,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"""'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'""",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'@ronaldocaiado ',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @osvladpereira: ricardo noblat do globo pede a prisão do general mourão: este general merece ser preso  … ',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Negative,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Positive,Negative,Neutral
'rt @emyissotbmpassa: dá pra lutar manisfetar cobrar por um #foratemer  #emillyaraujonopjb  dá tbm pra dizer q tu q é insign… ',Neutral,Negative,Positive,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'2011: lula descansa em seu sítio em atibaia com visita de dilma  mentira tem perna curta  https://tco/774nyhp8hp',Negative,Neutral,Negative,Negative,Negative,Positive,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'rt @jaimenc: 2011: lula descansa em seu sítio em atibaia com visita de dilma  mentira tem perna curta  https://tco/774nyhp8…',Negative,Neutral,Negative,Negative,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'rt @vieirabazilio: @lulapelobrasil pariram recibos agora o glauco costa marques já falou que não recebeu o aluguel por 5 anos ',Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'@felipesenaes boa sugestão pra nome de partido quem vota em pmdb e pt é safado ou muito burro mesmo  #forapmdb (otário quem urrou o fora te',Positive,Negative,Neutral,Positive,Neutral,Positive,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Negative
'rt @osvladpereira: ricardo noblat do globo pede a prisão do general mourão: este general merece ser preso  … ',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Negative,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Positive,Negative,Neutral
'rt @jaimenc: 2011: lula descansa em seu sítio em atibaia com visita de dilma  mentira tem perna curta  https://tco/774nyhp8…',Negative,Neutral,Negative,Negative,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'rt @mary_greicy:     #emendalulanão  #fundopartidárionão https://tco/8wejdoiqka',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
'#euconfioemzedirceu ele vai entregar o lula e vamos viver para ver ',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Positive,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
