texto;;
'rt @ptrenatosimoes:  https://tco/xklcsw6lyf';;
'rt @ptrj13:  https://tco/tiilq8ytkl';;
'rt @dilmaresiste: com supremo com tudo ouÌ¤a o hit do golpe, de os trabalhistas que descreve todos os seis passos ‰Û_ ';;
'rt @dilmaresiste: dilma lidera pesquisa para o senado em minas   roberto stuckert filho/pr | jefferson https://‰Û_';;
'os crimes dos moros revelados  por isso a blindagem da mÌ_dia e  perseguiÌ¤Ì£o ao lula #quintadetremurasdv #brasilqueopovoquer  https://tco/yv'
'rt @marivoneprof: sono veio e vou com ele Ì_tima 4å» aos amigos que apoiam  _ÙÔ #lulalideremtodaspesquisas _ÙÔ_ÙÔ_ÙÔ_ÙÔ_ÙÔ_ÙÔ _Ù÷«_ÙÕ__'
'@dcm_online parabÌ©ns nassif esse cambalachos dos moro c/ propina nas delaÌ¤Ìµes tem que ser implodido #quintadetremurasdv  #brasilqueopovoque'
'rt @dilmaresiste: com supremo com tudo ouÌ¤a o hit do golpe, de os trabalhistas que descreve todos os seis passos ‰Û_ ';;
' no lanÌ¤amento da plataforma #obrasilqueopovoquer e defende polÌ_ticas de melhorar o consumo do povo para melhorar economia https://tco/vujui'
' https://tco/ykjtjnii1r';;
' https://tco/undjftxpzk';;
' https://tco/c29kvrcv8k';;
'  brasil, o paÌ_s onde tudo Ì© tratado como doenÌ¤a mental, menos as doenÌ¤as mentais https://tco/mjvtnldrse';;
'rt @jfmargarida: pesquisa cnt confirma:  lidera em todos os cenÌÁrios  https://tco/aec5mshlnp';;
'rt @jfmargarida: pesquisa cnt confirma:  lidera em todos os cenÌÁrios  https://tco/aec5mshlnp';;
'@lulapelobrasil vocÌ» Ì© a esperanÌ¤a do povo ';;
'rt @beta22: corre, moro, que a casa tÌÁ caindo  https://tco/h6ogglbvxh';;
'rt @ptrenatosimoes: #brasilqueopovoquer com  @gleisi @marciopochmann e tereza campello https://tco/ycmsrrvosk';;
'@lindberghfarias #brasilqueopovoquer  sÌ_ com ';;
'rt @dilmaresiste: o que moro tem feito em 3 anos da lava jato nada mais Ì© do que colocar em prÌÁtica liÌ¤Ìµes de maquiavel ‰Û_ ';;
'rt @dilmaresiste: o que moro tem feito em 3 anos da lava jato nada mais Ì© do que colocar em prÌÁtica liÌ¤Ìµes de maquiavel ‰Û_ ';;
'rt @dilmaresiste: #aovivo @deputadofederal paulo pimenta o brasil que o povo quer #rt   o partido dos https:/‰Û_';;
'@ptbrasil @lulapelobrasil ';;
'@wadih_damous ';;
'@lulapelobrasil ';;
'@esuplicy @leonardoboff acredito que grande parte do povo brasileiro tambÌ©m ';;
'rt @carmenprs:  https://tco/zcacv7fa2r';;
'@wadih_damous ';;
'@uolpolitica @uol #brasilqueopovoquer  sÌ_ com ';;
'rt @dilmaresiste: com supremo com tudo ouÌ¤a o hit do golpe, de os trabalhistas que descreve todos os seis passos ‰Û_ ';;
'mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @portalvermelho';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
'homossexualidade nÌ£o Ì© doenÌ¤a segundo a oms; entenda   #dr dilma resistente https://tco/cryjd4lyjc';
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
'@pirulla25 com certeza ta tudo jÌÁ esquematizado ‰_÷';;
'rt @mariabeatrizxa3: @lulapelobrasil vocÌ» Ì© a esperanÌ¤a do povo ';;
'rt @mariabeatrizxa3: @lulapelobrasil vocÌ» Ì© a esperanÌ¤a do povo ';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
'rt @j_livres: lula ‰ÛÒ aliÌÁs o sr se baseia muito no globo, dr moro na minha condenaÌ¤Ì£o o sr cita o jornal globo 15 vezes  ';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
' https://tco/bvylymof9q';;
'rt @dilmaresiste:   a subprocuradora-geral da repÌ¼blica, aurea lustosa pierre, emitiu parecer favorÌÁvel ÌÊ https‰Û_';;
'rt @guimarques1985: @gleisi #brasil #polÌ_tica #lavajato  o povo de curitiba tÌÁ trabalhando quem foi ouvir lula foi a militÌ¢ncia';;
'rt @enquette_: qual o seu lado  #tocommoro ';;
' https://tco/xc3slr017i';;
'@lulapelobrasil pois Ì© mais eles nÌ£o  dÌ£o nem chaces das explicaÌ¤Ìµes ‰_÷ ';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
'wadih damous: generais tramam golpe nas barbas de um presidente desmoralizado   https://tco/b7dsdhqppo';;
'@andrizek sempre boa tarde ‰_÷';;
'@mary_mayah @lulapelobrasil somos todos Ì© muita gente';;
'rt @dimoniquinha: lula lidera a corrida p/ 2018 em todos os cenÌÁrios;   e o golpe abre mais um processo contra lula http‰Û_';
'@exame e moro Ì© aas propinas das delaÌ¤Ìµes quando o brasil serÌÁ ressarcido da farsa #quintadetremurasdv  https://tco/oilovqztox';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
'rt @josecarluzz: @turquim5  a casa tÌÁ caindo moro';;
' https://tco/5esy5fmp5k';;
'rt @dilmaresiste: segundo @aecioneves o Ì¼nico patrimÌ«nio q acumulou em +de 30a foi sua honra e dignidade ‰Û_ ';;
'rt @carmenprs:  https://tco/5esy5fmp5k';;
'rt @dilmaresiste: mpf pede suspeiÌ¤Ì£o de moro para julgar lula e apresenta 9 razÌµes   https://tco/h7iv0rd7mu via @‰Û_';;
