Filename;Segment;WC;WPS;Sixltr;Dic;funct;pronoun;ppron;i;we;you;shehe;they;ipron;article;verb;auxverb;past;present;future;adverb;preps;conj;negate;quant;number;swear;social;family;friend;humans;affect;posemo;negemo;anx;anger;sad;cogmech;insight;cause;discrep;tentat;certain;inhib;incl;excl;percept;see;hear;feel;bio;body;health;sexual;ingest;relativ;motion;space;time;work;achieve;leisure;home;money;relig;death;assent;nonfl;filler;AllPunc;Period;Comma;Colon;SemiC;QMark;Exclam;Dash;Quote;Apostro;Parenth;OtherP
lula_df_texto_favor.txt;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
lula_df_texto_favor.txt;2;5;5,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;0,00;40,00;0,00;80,00
lula_df_texto_favor.txt;3;5;5,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;0,00;40,00;0,00;80,00
lula_df_texto_favor.txt;4;20;20,00;20,00;80,00;55,00;25,00;15,00;0,00;0,00;15,00;5,00;10,00;15,00;15,00;10,00;0,00;0,00;10,00;0,00;0,00;20,00;5,00;0,00;5,00;5,00;10,00;25,00;0,00;0,00;0,00;10,00;5,00;5,00;0,00;0,00;0,00;35,00;10,00;0,00;5,00;5,00;5,00;0,00;15,00;5,00;15,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;10,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;5,00
lula_df_texto_favor.txt;5;16;16,00;31,25;37,50;18,75;6,25;6,25;0,00;0,00;6,25;6,25;0,00;6,25;6,25;0,00;0,00;0,00;6,25;0,00;0,00;12,50;0,00;0,00;0,00;0,00;6,25;12,50;6,25;0,00;6,25;0,00;0,00;0,00;0,00;0,00;0,00;18,75;0,00;6,25;0,00;0,00;0,00;6,25;6,25;0,00;6,25;0,00;0,00;0,00;6,25;0,00;0,00;0,00;0,00;25,00;12,50;12,50;6,25;6,25;6,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;62,50;6,25;0,00;12,50;0,00;0,00;0,00;0,00;0,00;12,50;0,00;31,25
lula_df_texto_favor.txt;6;20;20,00;30,00;50,00;35,00;15,00;10,00;0,00;0,00;10,00;5,00;5,00;10,00;10,00;5,00;0,00;5,00;0,00;0,00;0,00;20,00;5,00;0,00;0,00;0,00;5,00;15,00;0,00;0,00;0,00;10,00;0,00;5,00;0,00;0,00;0,00;20,00;5,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;40,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;25,00
lula_df_texto_favor.txt;7;16;16,00;12,50;75,00;25,00;12,50;0,00;0,00;0,00;0,00;6,25;0,00;12,50;0,00;12,50;0,00;6,25;6,25;0,00;0,00;12,50;12,50;0,00;0,00;0,00;0,00;12,50;0,00;0,00;0,00;18,75;18,75;0,00;0,00;0,00;0,00;25,00;0,00;0,00;6,25;6,25;0,00;0,00;18,75;6,25;0,00;0,00;0,00;0,00;12,50;6,25;0,00;0,00;12,50;12,50;12,50;12,50;6,25;6,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,50;6,25;0,00;6,25;0,00;0,00;0,00;0,00;0,00;12,50;0,00;12,50
lula_df_texto_favor.txt;8;21;21,00;38,10;38,10;19,05;9,52;0,00;0,00;0,00;0,00;0,00;0,00;9,52;0,00;9,52;9,52;0,00;4,76;0,00;0,00;0,00;4,76;0,00;0,00;0,00;0,00;4,76;0,00;0,00;4,76;0,00;0,00;0,00;0,00;0,00;0,00;9,52;4,76;0,00;4,76;4,76;0,00;4,76;0,00;4,76;0,00;0,00;0,00;0,00;4,76;4,76;0,00;0,00;0,00;19,05;0,00;9,52;0,00;0,00;0,00;0,00;4,76;9,52;0,00;0,00;0,00;0,00;0,00;52,38;0,00;0,00;4,76;0,00;0,00;0,00;0,00;0,00;9,52;0,00;38,10
lula_df_texto_favor.txt;9;20;20,00;20,00;80,00;55,00;25,00;15,00;0,00;0,00;15,00;5,00;10,00;15,00;15,00;10,00;0,00;0,00;10,00;0,00;0,00;20,00;5,00;0,00;5,00;5,00;10,00;25,00;0,00;0,00;0,00;10,00;5,00;5,00;0,00;0,00;0,00;35,00;10,00;0,00;5,00;5,00;5,00;0,00;15,00;5,00;15,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;10,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;5,00
lula_df_texto_favor.txt;10;20;20,00;50,00;80,00;35,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;5,00;5,00;5,00;0,00;0,00;10,00;0,00;0,00;25,00;5,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;5,00;15,00;10,00;0,00;0,00;0,00;0,00;30,00;0,00;5,00;0,00;0,00;10,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;20,00;15,00;10,00;5,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;20,00
lula_df_texto_favor.txt;11;3;3,00;33,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200,00;0,00;0,00;33,33;0,00;0,00;0,00;0,00;0,00;66,67;0,00;100,00
lula_df_texto_favor.txt;12;3;3,00;33,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200,00;0,00;0,00;33,33;0,00;0,00;0,00;0,00;0,00;66,67;0,00;100,00
lula_df_texto_favor.txt;13;3;3,00;33,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200,00;0,00;0,00;33,33;0,00;0,00;0,00;0,00;0,00;66,67;0,00;100,00
