texto;;
' @ptrenatosimoes:  :///xklcsw6lyf';;
' @ptrj13:  :///tiilq8ytkl';;
' @dilmaresiste: com supremo com tudo ouÌ¤a o hit do golpe, de os trabalhistas que descreve todos os seis passos ‰Û_ ';;
' @dilmaresiste: dilma lidera pesquisa para o senado em minas   roberto stucke filho/pr | jefferson ://‰Û_';;
'os crimes dos moros revelados  por isso a blindagem da mÌ_dia e  perseguiÌ¤Ì£o ao lula #quintadetremurasdv #brasilqueopovoquer  :///yvwqlzyzyd';;
' @marivoneprof: sono veio e vou com ele Ì_tima 4å» aos amigos que apoiam  _ÙÔ #lulalideremtodaspesquisas _ÙÔ_ÙÔ_ÙÔ_ÙÔ_ÙÔ_ÙÔ _Ù÷«_ÙÕ__Ù÷«_ÙÕ__Ù÷«_ÙÕ__Ù÷« ‰Û_';;
'@dcm_online parabÌ©ns nassif esse cambalachos dos moro c/ propina nas delaÌ¤Ìµes tem que ser implodido #quintadetremurasdv  #brasilqueopovoquer :///sorbyljklq';;
' @dilmaresiste: com supremo com tudo ouÌ¤a o hit do golpe, de os trabalhistas que descreve todos os seis passos ‰Û_ ';;
' no lanÌ¤amento da plataforma #obrasilqueopovoquer e defende polÌ_ticas de melhorar o consumo do povo para melhorar economia :///vujui2moxx';;
' :///ykjtjnii1r';;
' :///undjftxpzk';;
' :///c29kvrcv8k';;
'  brasil, o paÌ_s onde tudo Ì© tratado como doenÌ¤a mental, menos as doenÌ¤as mentais :///mjvtnldrse';;
' @jfmargarida: pesquisa cnt confirma:  lidera em todos os cenÌÁrios  :///aec5mshlnp';;
' @jfmargarida: pesquisa cnt confirma:  lidera em todos os cenÌÁrios  :///aec5mshlnp';;
'@lulapelobrasil vocÌ» Ì© a esperanÌ¤a do povo ';;
' @beta22: corre, moro, que a casa tÌÁ caindo  :///h6ogglbvxh';;
' @ptrenatosimoes: #brasilqueopovoquer com  @gleisi @marciopochmann e tereza campello :///ycmsrrvosk';;
'@lindberghfarias #brasilqueopovoquer  sÌ_ com ';;
' @dilmaresiste: o que moro tem feito em 3 anos da lava jato nada mais Ì© do que colocar em prÌÁtica liÌ¤Ìµes de maquiavel ‰Û_ ';;
' @dilmaresiste: o que moro tem feito em 3 anos da lava jato nada mais Ì© do que colocar em prÌÁtica liÌ¤Ìµes de maquiavel ‰Û_ ';;
' @dilmaresiste: #aovivo @deputadofederal paulo pimenta o brasil que o povo quer #   o partido dos :/‰Û_';;
'@ptbrasil @lulapelobrasil ';;
'@wadih_damous ';;
'@lulapelobrasil ';;
