texto;;
'rt @ptrenatosimoes:  https://tco/xklcsw6lyf';;
'rt @ptrj13:  https://tco/tiilq8ytkl';;
'rt @dilmaresiste: com supremo com tudo ouÌ¤a o hit do golpe, de os trabalhistas que descreve todos os seis passos ‰Û_ ';;
'rt @dilmaresiste: dilma lidera pesquisa para o senado em minas   roberto stuckert filho/pr | jefferson https://‰Û_';;
'os crimes dos moros revelados  por isso a blindagem da mÌ_dia e  perseguiÌ¤Ì£o ao lula #quintadetremurasdv #brasilqueopovoquer  https://tco/yvwqlzyzyd';;
'rt @marivoneprof: sono veio e vou com ele Ì_tima 4å» aos amigos que apoiam  _ÙÔ #lulalideremtodaspesquisas _ÙÔ_ÙÔ_ÙÔ_ÙÔ_ÙÔ_ÙÔ _Ù÷«_ÙÕ__Ù÷«_ÙÕ__Ù÷«_ÙÕ__Ù÷« https‰Û_';;
'@dcm_online parabÌ©ns nassif esse cambalachos dos moro c/ propina nas delaÌ¤Ìµes tem que ser implodido #quintadetremurasdv  #brasilqueopovoquer https://tco/sorbyljklq';;
'rt @dilmaresiste: com supremo com tudo ouÌ¤a o hit do golpe, de os trabalhistas que descreve todos os seis passos ‰Û_ ';;
' no lanÌ¤amento da plataforma #obrasilqueopovoquer e defende polÌ_ticas de melhorar o consumo do povo para melhorar economia https://tco/vujui2moxx';;
' https://tco/ykjtjnii1r';;
' https://tco/undjftxpzk';;
' https://tco/c29kvrcv8k';;
'  brasil, o paÌ_s onde tudo Ì© tratado como doenÌ¤a mental, menos as doenÌ¤as mentais https://tco/mjvtnldrse';;
'rt @jfmargarida: pesquisa cnt confirma:  lidera em todos os cenÌÁrios  https://tco/aec5mshlnp';;
'rt @jfmargarida: pesquisa cnt confirma:  lidera em todos os cenÌÁrios  https://tco/aec5mshlnp';;
'@lulapelobrasil vocÌ» Ì© a esperanÌ¤a do povo ';;
'rt @beta22: corre, moro, que a casa tÌÁ caindo  https://tco/h6ogglbvxh';;
'rt @ptrenatosimoes: #brasilqueopovoquer com  @gleisi @marciopochmann e tereza campello https://tco/ycmsrrvosk';;
'@lindberghfarias #brasilqueopovoquer  sÌ_ com ';;
